Date,PFE,JNJ,NVAX,MRNA,AZN,BNTX
2020-12-01,72660800.0,9741300.0,12364600.0,125552300.0,13308200.0,9634500.0
2020-12-02,84347500.0,7745500.0,3969300.0,51217300.0,4953700.0,7164700.0
2020-12-03,68570100.0,7310500.0,3234300.0,38656500.0,7917100.0,4264600.0
2020-12-04,35368100.0,6747100.0,2181800.0,27704800.0,4685400.0,3142600.0
2020-12-07,48253700.0,6634700.0,3270700.0,31409800.0,6582900.0,4925300.0
2020-12-08,87039300.0,8339800.0,3744200.0,27738700.0,6707600.0,4597500.0
2020-12-09,86118500.0,8440100.0,5561800.0,40951700.0,7952400.0,5265200.0
2020-12-10,57749200.0,7392900.0,2473300.0,22060000.0,7566800.0,5381300.0
2020-12-11,60737000.0,5977400.0,6060800.0,22069900.0,3870000.0,4303700.0
2020-12-14,94809700.0,8547300.0,4690300.0,22467700.0,54898600.0,10907900.0
2020-12-15,66003300.0,7614700.0,2727200.0,36451300.0,22345300.0,5711800.0
2020-12-16,56515300.0,8486100.0,4096600.0,28476300.0,19333500.0,4802600.0
2020-12-17,52036400.0,9920300.0,5070800.0,32404500.0,13957200.0,3487800.0
2020-12-18,60259200.0,17137200.0,4237400.0,33157800.0,25875200.0,3108200.0
2020-12-21,40891800.0,7893400.0,2763300.0,23921000.0,13007200.0,2611000.0
2020-12-22,33634400.0,4699500.0,6363600.0,36035800.0,14221900.0,5021000.0
2020-12-23,36182000.0,4607300.0,6681400.0,41905000.0,11311000.0,3414000.0
2020-12-24,14790100.0,2114900.0,3690600.0,12720600.0,4931700.0,1039100.0
2020-12-28,26993700.0,3855500.0,4840500.0,31088200.0,15481900.0,4698900.0
2020-12-29,23152100.0,5212000.0,2919500.0,23718800.0,17308500.0,3300400.0
2020-12-30,24889800.0,5412800.0,2796200.0,23965500.0,14349100.0,2941100.0
2020-12-31,30755600.0,5098600.0,3580800.0,23299400.0,10560900.0,2599000.0
